x_cat,x_sub,BDFE_cat,BDFE_sub,d,Vbur_cat,Vbur_sub,gibbs
7.7575,3.307687169,94.90335738,82.45295469,0,30.4,21.5,11.48354783
7.7575,3.300238049,94.90335738,83.10609533,0,30.4,20.3,11.87982667
7.7575,3.310570217,94.90335738,82.02734415,0,30.4,21,11.23067072
7.7575,3.347396765,94.90335738,83.84270046,0,30.4,18.9,10.69374053
7.7575,3.348623999,94.90335738,83.66713822,0,30.4,20.1,11.8330502
7.7575,2.570518098,94.90335738,81.46295789,0,30.4,20.5,9.327265969
7.7575,2.615833243,94.90335738,81.43721994,0,30.4,20.6,11.19179647
7.7575,2.919863494,94.90335738,83.70597481,0,30.4,20.2,9.410384061
5.990214193,4.803156459,94.61156523,95.96205768,0,34.2,14.1,20.15624871
5.990214193,3.870480283,94.61156523,90.48365887,0,34.2,16.8,17.64056112
5.990214193,3.408487229,94.61156523,86.74034585,0,34.2,22.6,14.74334745
5.990214193,3.184642742,94.61156523,84.72060577,0,34.2,27.8,14.72640468
5.990214193,3.899030906,94.61156523,90.4087963,0,34.2,23.7,16.56877404
5.990214193,3.645434304,94.61156523,88.18438693,0,34.2,24.3,16.80220776
5.990214193,3.837429534,94.61156523,88.35205007,0,34.2,24.4,16.9615953
5.990214193,3.722181133,94.61156523,87.20628395,0,34.2,22.7,14.80358841
5.990214193,4.171343127,94.61156523,91.73287817,0,34.2,16.9,18.44691147
5.990214193,3.04732844,94.61156523,84.39409475,0,34.2,24.2,11.30835771
5.990214193,4.19141465,94.61156523,77.54337355,1,34.2,17.1,15.67770984
5.990214193,3.754829248,94.61156523,73.36162432,1,34.2,19.8,13.09932773
5.990214193,3.58604707,94.61156523,71.18619462,1,34.2,21.7,11.59455624
5.990214193,3.976707017,94.61156523,81.48809782,1,34.2,17.2,14.68875408
5.990214193,3.703891113,94.61156523,76.70791364,1,34.2,21.3,12.29354841
5.990214193,3.493683469,94.61156523,75.8282149,1,34.2,25.1,12.00511093
5.990214193,4.041689867,94.61156523,78.13100466,1,34.2,20.2,14.58597735
5.990214193,5.651857686,94.61156523,86.45453074,1,34.2,20.5,16.51118996
5.990214193,5.085227792,94.61156523,81.81033927,1,34.2,21.6,16.82071366
5.990214193,5.625850268,94.61156523,86.24086233,1,34.2,20.5,16.10881172
5.990214193,5.551866349,94.61156523,89.95222441,1,34.2,19,19.08944845
5.990214193,5.920752414,94.61156523,87.72663658,1,34.2,17,21.1144113
5.990214193,5.230767339,94.61156523,81.4035967,1,34.2,19.8,17.05556178
5.990214193,4.766921325,94.61156523,76.55255534,1,34.2,22.2,14.71658478
5.990214193,3.955155493,94.61156523,90.46133338,0,34.2,16.5,16.14636355
5.990214193,3.444669357,94.61156523,86.55978738,0,34.2,19.2,12.93889601
5.990214193,4.019285688,94.61156523,91.30799993,0,34.2,16.5,16.38111906
5.990214193,3.987798016,94.61156523,91.36515668,0,34.2,16.8,17.17408274
5.990214193,4.903126926,94.61156523,93.97948507,0,34.2,16.8,20.98388608
5.990214193,3.806125186,94.61156523,87.67059805,0,34.2,20.5,14.94096478
5.990214193,4.672073568,94.61156523,77.7617966,1,34.2,21.7,18.22312446
5.990214193,3.24620029,94.61156523,72.52249097,1,34.2,23.4,11.01891621
5.990214193,3.494217235,94.61156523,85.32874642,0,34.2,18,12.52243017
5.990214193,3.662683012,94.61156523,82.91905092,0,34.2,17.9,13.99993133
5.990214193,5.270059049,94.61156523,87.67119356,1,34.2,18.4,17.04019658
5.990214193,3.692917599,94.61156523,84.17732142,0,34.2,19.7,12.97494771
5.990214193,5.381574088,94.61156523,89.14133842,1,34.2,21.1,17.67825878
5.990214193,3.137113869,94.61156523,83.00167516,0,34.2,21.6,11.70049185
5.990214193,3.27751789,94.61156523,84.95683756,0,34.2,21.3,12.15709762
5.990214193,3.46546839,94.61156523,87.0813053,0,34.2,23.6,14.25337384
5.990214193,3.190733933,94.61156523,84.17618751,0,34.2,26.1,12.39645691
5.990214193,3.062358711,94.61156523,84.65431875,0,34.2,31.7,15.75442357
5.990214193,3.210851321,94.61156523,84.61294765,0,34.2,28.6,13.10816181
5.990214193,2.989660735,94.61156523,83.56301486,0,34.2,24.1,11.86103965
5.990214193,3.197187116,94.61156523,84.02057695,0,34.2,26.1,12.24363187
5.990214193,3.196920444,94.61156523,82.30095043,0,34.2,21.5,11.9116772
5.990214193,2.593296761,94.61156523,80.10470873,0,34.2,20.1,9.694479174
5.990214193,3.666408253,94.61156523,83.5683807,0,34.2,19.5,14.00710816
5.990214193,3.348376376,94.61156523,82.97688977,0,34.2,21.4,13.31758072
5.990214193,3.184063058,94.61156523,80.98361555,0,34.2,21.6,12.46826037
5.990214193,3.097713122,94.61156523,80.76416966,0,34.2,21.8,12.39336517
5.990214193,3.296055656,94.61156523,82.12256816,0,34.2,21.4,12.71909808
5.990214193,3.307687169,94.61156523,82.45295469,0,34.2,21.5,11.74575101
5.990214193,3.300238049,94.61156523,83.10609533,0,34.2,20.3,13.30177124
5.990214193,3.310570217,94.61156523,82.02734415,0,34.2,21,12.31580431
5.990214193,3.347396765,94.61156523,83.84270046,0,34.2,18.9,12.40164893
5.990214193,3.348623999,94.61156523,83.66713822,0,34.2,20.1,14.63644861
5.990214193,2.570518098,94.61156523,81.46295789,0,34.2,20.5,11.59865513
5.990214193,2.615833243,94.61156523,81.43721994,0,34.2,20.6,11.73348695
5.990214193,2.919863494,94.61156523,83.70597481,0,34.2,20.2,11.94163139
6.286989884,4.803156459,94.80107325,95.96205768,0,32.6,14.1,17.99451818
6.286989884,3.870480283,94.80107325,90.48365887,0,32.6,16.8,17.32763192
6.286989884,3.408487229,94.80107325,86.74034585,0,32.6,22.6,15.55095282
6.286989884,3.184642742,94.80107325,84.72060577,0,32.6,27.8,13.46349751
6.286989884,3.899030906,94.80107325,90.4087963,0,32.6,23.7,16.23863601
6.286989884,3.645434304,94.80107325,88.18438693,0,32.6,24.3,15.94876278
6.286989884,3.837429534,94.80107325,88.35205007,0,32.6,24.4,18.59120802
6.286989884,3.722181133,94.80107325,87.20628395,0,32.6,22.7,17.42730561
6.286989884,3.04732844,94.80107325,84.39409475,0,32.6,24.2,14.256571
6.286989884,4.19141465,94.80107325,77.54337355,1,32.6,17.1,15.17135069
6.286989884,3.754829248,94.80107325,73.36162432,1,32.6,19.8,12.9760948
6.286989884,3.58604707,94.80107325,71.18619462,1,32.6,21.7,12.35059221
6.286989884,3.976707017,94.80107325,81.48809782,1,32.6,17.2,14.85768981
6.286989884,3.703891113,94.80107325,76.70791364,1,32.6,21.3,12.8959304
6.286989884,3.493683469,94.80107325,75.8282149,1,32.6,25.1,13.08751297
6.286989884,4.041689867,94.80107325,78.13100466,1,32.6,20.2,15.43064158
6.286989884,5.651857686,94.80107325,86.45453074,1,32.6,20.5,19.11403618
6.286989884,5.085227792,94.80107325,81.81033927,1,32.6,21.6,16.31578021
6.286989884,5.625850268,94.80107325,86.24086233,1,32.6,20.5,18.15332213
6.286989884,5.551866349,94.80107325,89.95222441,1,32.6,19,20.0849002
6.286989884,5.920752414,94.80107325,87.72663658,1,32.6,17,19.22949362
6.286989884,5.230767339,94.80107325,81.4035967,1,32.6,19.8,17.50809941
6.286989884,4.766921325,94.80107325,76.55255534,1,32.6,22.2,14.80742877
6.286989884,3.955155493,94.80107325,90.46133338,0,32.6,16.5,16.8370613
6.286989884,3.444669357,94.80107325,86.55978738,0,32.6,19.2,15.05230953
6.286989884,4.019285688,94.80107325,91.30799993,0,32.6,16.5,17.39893965
6.286989884,3.987798016,94.80107325,91.36515668,0,32.6,16.8,16.89578456
6.286989884,4.903126926,94.80107325,93.97948507,0,32.6,16.8,19.88403111
6.286989884,3.806125186,94.80107325,87.67059805,0,32.6,20.5,16.9140313
6.286989884,4.672073568,94.80107325,77.7617966,1,32.6,21.7,17.77799522
6.286989884,3.24620029,94.80107325,72.52249097,1,32.6,23.4,11.28332634
6.286989884,3.494217235,94.80107325,85.32874642,0,32.6,18,14.05286431
6.286989884,3.662683012,94.80107325,82.91905092,0,32.6,17.9,13.79384136
6.286989884,5.270059049,94.80107325,87.67119356,1,32.6,18.4,18.46954011
6.286989884,3.692917599,94.80107325,84.17732142,0,32.6,19.7,14.39251226
6.286989884,5.381574088,94.80107325,89.14133842,1,32.6,21.1,18.3320238
6.286989884,3.137113869,94.80107325,83.00167516,0,32.6,21.6,13.29646187
6.286989884,3.27751789,94.80107325,84.95683756,0,32.6,21.3,13.69345796
6.286989884,3.46546839,94.80107325,87.0813053,0,32.6,23.6,14.82319873
6.286989884,3.190733933,94.80107325,84.17618751,0,32.6,26.1,13.0549201
6.286989884,3.210851321,94.80107325,84.61294765,0,32.6,28.6,14.43155969
6.286989884,2.989660735,94.80107325,83.56301486,0,32.6,24.1,11.96520945
6.286989884,3.197187116,94.80107325,84.02057695,0,32.6,26.1,13.15922669
6.286989884,3.196920444,94.80107325,82.30095043,0,32.6,21.5,12.59379751
6.286989884,2.593296761,94.80107325,80.10470873,0,32.6,20.1,10.57363449
6.286989884,3.666408253,94.80107325,83.5683807,0,32.6,19.5,13.93634198
6.286989884,3.348376376,94.80107325,82.97688977,0,32.6,21.4,14.49078095
6.286989884,3.184063058,94.80107325,80.98361555,0,32.6,21.6,12.57937043
6.286989884,3.097713122,94.80107325,80.76416966,0,32.6,21.8,13.87179128
6.286989884,3.296055656,94.80107325,82.12256816,0,32.6,21.4,13.72479706
6.286989884,3.307687169,94.80107325,82.45295469,0,32.6,21.5,13.53374098
6.286989884,3.300238049,94.80107325,83.10609533,0,32.6,20.3,14.2278028
6.286989884,3.310570217,94.80107325,82.02734415,0,32.6,21,13.44905599
6.286989884,3.347396765,94.80107325,83.84270046,0,32.6,18.9,12.80615317
6.286989884,3.348623999,94.80107325,83.66713822,0,32.6,20.1,15.01895047
6.286989884,2.570518098,94.80107325,81.46295789,0,32.6,20.5,12.11891426
6.286989884,2.615833243,94.80107325,81.43721994,0,32.6,20.6,12.01292782
6.286989884,2.919863494,94.80107325,83.70597481,0,32.6,20.2,12.46120026
